CATAID,logit_class(1-uvup;2-uvweak),redshift
551508,1,0.17704
215160,1,0.05109
47568,0,0.18676
536432,0,0.13013
98723,0,0.19953
549525,1,0.2676
535089,0,0.1702
63417,0,0.13917
319197,0,0.0552
569058,0,0.1365
203951,0,0.20618
505583,0,0.14203
106569,0,0.14532
98551,0,0.13291
214373,0,0.26798
593810,0,0.12298
30685,0,0.11855
592682,0,0.16764
14472,0,0.11436
567993,1,0.14138
228655,0,0.23156
47674,0,0.03847
575098,1,0.16547
559735,0,0.24296
250192,0,0.05594
197908,1,0.23202
30983,1,0.24328
84050,0,0.11895
228890,0,0.03051
62494,0,0.13845
601248,0,0.07022
138143,0,0.09505
220294,1,0.13582
219992,0,0.07814
230202,0,0.17957
30854,0,0.10794
346140,0,0.13347
106188,1,0.12655
15689,1,0.12623
92069,1,0.10087
105613,0,0.16167
99928,0,0.07709
543489,0,0.05312
584727,0,0.16567
505258,1,0.12996
15620,0,0.15918
460767,0,0.04773
271821,0,0.21779
272585,0,0.13913
273567,1,0.07459
279564,0,0.24297
297483,1,0.21088
144246,0,0.18769
526747,0,0.07683
65451,0,0.13865
62815,0,0.14
63665,1,0.25314
511587,0,0.14549
618929,0,0.05575
40668,0,0.18452
535357,1,0.16959
487060,0,0.08386
560456,0,0.16811
388559,1,0.08676
463295,0,0.18275
63579,1,0.17428
598929,1,0.08092
184263,0,0.15496
517501,0,0.10643
8573,0,0.1271
65408,0,0.04338
619069,0,0.12998
220221,0,0.07874
298144,0,0.11827
525759,0,0.1691
622476,0,0.10312
107055,0,0.1504
347268,0,0.33812
493213,0,0.1152
54193,0,0.17722
497106,0,0.19696
32367,0,0.15804
84933,0,0.11006
348012,0,0.14266
397367,1,0.13305
460378,0,0.02923
107732,0,0.2161
28759,1,0.07744
221051,0,0.10013
39938,0,0.22644
505490,0,0.1154
92936,0,0.12075
91846,0,0.14396
9062,0,0.02167
559792,0,0.13034
573681,1,0.20799
574259,0,0.17324
371218,0,0.09737
288947,0,0.04757
63513,0,0.13847
506120,0,0.08431
610665,0,0.15799
570366,0,0.07576
485417,0,0.20364
91362,0,0.24068
77619,0,0.13554
568491,0,0.10176
79866,0,0.04393
239527,1,0.13945
422994,0,0.21128
381068,0,0.0756
215721,0,0.08898
617515,0,0.1133
610937,0,0.09812
584959,0,0.20259
228531,1,0.25767
622788,0,0.07083
527265,1,0.15521
15968,0,0.16151
239797,1,0.15078
492267,0,0.05498
505264,0,0.13003
372177,0,0.07238
387594,0,0.31403
346839,0,0.05855
560509,0,0.17001
487110,0,0.1087
185806,1,0.22329
99491,0,0.13311
70017,0,0.06031
69716,0,0.09275
238458,0,0.07754
15481,0,0.05408
611175,0,0.18271
64372,1,0.15174
527285,0,0.12772
143536,0,0.11776
143301,1,0.13099
387554,0,0.05114
63968,0,0.12578
386764,0,0.19586
387042,0,0.07174
387562,0,0.30278
381214,0,0.05227
99151,0,0.08592
545454,0,0.07204
31754,1,0.09599
272833,0,0.08251
319398,0,0.05458
301233,1,0.26485
347368,0,0.10115
9158,0,0.11095
536963,0,0.08293
618912,0,0.05577
209589,0,0.22311
144826,0,0.18033
594962,0,0.04446
536430,0,0.11477
39629,1,0.12174
15816,0,0.12508
617893,1,0.19231
609360,0,0.18603
599977,0,0.10921
184575,0,0.09507
301894,0,0.13107
23880,1,0.2516
49051,0,0.08127
215692,0,0.11146
618869,0,0.12939
184013,0,0.07651
575586,0,0.14175
417864,1,0.19701
511558,0,0.08274
622934,0,0.13195
584883,1,0.16768
184720,0,0.12525
372131,0,0.07
371427,1,0.11754
514025,0,0.12453
15922,0,0.10452
198815,0,0.13654
237771,1,0.17673
79629,0,0.17533
418182,0,0.19394
297304,0,0.09789
288402,1,0.15798
514194,0,0.14495
231347,0,0.18945
48013,0,0.07241
592998,0,0.05498
382158,0,0.05774
48076,0,0.16935
49412,0,0.14986
271977,0,0.09389
79834,0,0.04384
512889,1,0.30585
319395,0,0.05413
302269,0,0.12417
536235,0,0.08186
505429,0,0.1343
297762,0,0.11356
298171,0,0.27623
376247,0,0.0422
601625,0,0.07349
79302,1,0.07346
325467,0,0.0852
491593,1,0.1131
518041,1,0.11345
346211,0,0.19612
567986,1,0.13976
143269,0,0.07707
32369,1,0.15833
536361,1,0.11102
324356,0,0.11801
184265,0,0.10575
30466,0,0.07763
204093,0,0.09503
298907,0,0.08706
55489,0,0.12138
526740,0,0.24562
599876,0,0.17879
63361,1,0.16158
70022,0,0.05987
63129,0,0.14939
144053,0,0.16348
273413,0,0.07502
279135,0,0.16043
559490,0,0.04739
592737,0,0.12398
511890,1,0.05549
512102,0,0.12101
205178,0,0.05609
536146,0,0.26056
78191,0,0.1673
79104,0,0.17947
536802,0,0.17981
228564,0,0.03002
185049,0,0.15008
240055,0,0.14965
39582,0,0.07697
39585,0,0.12254
423108,1,0.18787
63209,0,0.13202
107763,1,0.21163
144863,1,0.15499
92466,0,0.05542
92592,0,0.08527
208662,0,0.1546
505827,0,0.17398
508635,0,0.12186
63020,0,0.12675
93803,0,0.03983
534758,0,0.07805
272435,1,0.13287
272438,1,0.07873
560406,1,0.084
238993,0,0.16952
371409,0,0.29017
377964,1,0.19832
15444,0,0.0544
545805,0,0.1454
106198,0,0.16967
216599,1,0.20504
318900,1,0.17725
548839,0,0.35809
544540,0,0.13359
377277,0,0.10158
583366,0,0.09809
594051,0,0.13694
526388,0,0.08679
55097,0,0.09395
543543,1,0.05596
543672,0,0.11185
611148,1,0.12349
136691,0,0.10519
599475,1,0.13021
485882,0,0.05285
272829,0,0.08328
273748,0,0.15926
227319,0,0.12309
585384,0,0.11656
197338,0,0.24453
289395,0,0.18781
381216,0,0.13139
40338,0,0.25813
65416,0,0.04609
560978,0,0.18451
544262,0,0.15112
238159,0,0.05415
238540,0,0.07774
238265,0,0.18475
205089,0,0.05698
64586,0,0.13682
623743,0,0.15684
622123,0,0.20893
227611,0,0.05567
143180,0,0.07743
463142,0,0.02583
78523,0,0.05592
231304,0,0.19
543537,0,0.05385
210147,0,0.09424
318612,1,0.04721
560191,0,0.12445
550090,0,0.12908
600058,0,0.17669
396583,0,0.07369
460324,0,0.07025
290365,0,0.11078
288727,0,0.07821
23905,0,0.15359
618904,0,0.05529
592418,0,0.05381
93132,0,0.07221
91686,0,0.0546
15034,0,0.12539
517685,0,0.10697
594184,0,0.1054
91961,0,0.07737
623862,1,0.16505
78155,0,0.1739
535365,0,0.10522
521383,0,0.08224
239556,0,0.10947
585355,0,0.09955
600501,0,0.0533
278122,0,0.12469
559057,0,0.1065
272122,1,0.30946
77878,0,0.27757
221055,1,0.20117
300762,0,0.09597
84899,0,0.12507
210375,0,0.05446
229393,1,0.11283
347100,0,0.2048
71028,0,0.07829
77345,0,0.05392
220499,1,0.04783
534679,0,0.10561
508107,1,0.12615
79750,0,0.0997
573716,1,0.21334
601094,1,0.08771
382291,0,0.05681
227481,0,0.18373
559544,0,0.1379
197391,0,0.25962
77517,0,0.17942
561227,0,0.11632
559398,0,0.09695
47258,1,0.05198
288040,0,0.13301
144504,0,0.14406
145417,0,0.15923
203817,0,0.2685
598947,0,0.07711
559432,0,0.07901
15518,0,0.08547
347395,0,0.0973
230455,0,0.07755
210541,0,0.20325
70490,1,0.09491
39472,0,0.07858
535532,0,0.13229
609329,0,0.10583
54557,0,0.16185
373168,0,0.08778
375564,0,0.04922
216366,0,0.14586
205177,1,0.05685
507721,0,0.07721
508104,1,0.13917
62698,0,0.13485
144012,0,0.07705
78530,0,0.05627
93807,0,0.04042
371820,0,0.32515
543553,0,0.05477
569545,1,0.21881
559521,0,0.13736
546056,1,0.11057
559335,0,0.15714
535014,0,0.0798
40614,0,0.11312
7039,0,0.1345
509885,0,0.07738
216406,0,0.16227
229001,0,0.14754
508144,0,0.05702
505952,0,0.04308
486683,1,0.20454
371943,1,0.10703
497035,0,0.07684
84461,1,0.07856
228743,1,0.1378
220216,0,0.07831
30752,0,0.15709
70186,0,0.07744
62824,0,0.13888
324183,0,0.12261
609876,0,0.12631
622362,0,0.08574
619170,0,0.12005
298228,1,0.11333
289102,0,0.0222
543676,0,0.11534
460762,0,0.15319
31127,0,0.1656
423470,1,0.11663
525820,0,0.16936
319771,1,0.29651
319070,0,0.03883
537184,0,0.1195
23381,0,0.0781
573839,0,0.15489
185154,1,0.17382
298199,0,0.12898
70636,0,0.08585
106200,0,0.20125
205085,0,0.05401
184999,0,0.16496
99121,0,0.07854
239656,0,0.13786
485060,0,0.29425
381157,0,0.05233
600321,0,0.15764
527546,0,0.16027
272967,0,0.0778
205211,0,0.05357
560514,0,0.12027
48735,0,0.05591
618466,0,0.14046
55098,0,0.09399
144135,0,0.16934
136624,0,0.04504
84862,0,0.10501
536434,0,0.05967
535415,0,0.136
39269,0,0.10643
99439,0,0.30498
272995,0,0.01802
273714,1,0.18398
70948,0,0.20398
145729,0,0.03981
512945,0,0.14868
509882,1,0.07823
383147,0,0.08899
486139,0,0.05373
301692,0,0.11889
185567,0,0.08234
70410,0,0.17857
526796,0,0.07022
54644,0,0.24773
214697,0,0.27997
610120,0,0.0808
617671,0,0.14649
186059,1,0.08125
220394,0,0.02051
567851,0,0.16012
618612,0,0.08532
505073,0,0.13891
85704,1,0.18329
92875,1,0.09518
507772,1,0.1813
78920,0,0.21014
486053,0,0.17991
574343,0,0.19598
204055,0,0.18524
507724,0,0.12754
507790,0,0.12472
487115,0,0.08347
611185,1,0.18177
198631,0,0.0557
85152,0,0.1692
422993,0,0.14395
6840,1,0.19309
380674,0,0.07332
220437,1,0.07837
220841,0,0.19277
227290,0,0.0255
184734,0,0.2673
536360,0,0.11167
238118,1,0.04801
215482,0,0.16769
144276,0,0.14617
371572,1,0.18903
54687,0,0.10561
380912,0,0.11184
550347,0,0.29605
97918,0,0.07459
560038,0,0.10691
600144,0,0.16245
77976,0,0.26521
693961,1,0.15059
30690,1,0.0695
273684,0,0.1141
319599,0,0.14917
64041,0,0.08813
65083,0,0.08261
220328,0,0.02044
610904,0,0.12744
209368,0,0.06615
250243,1,0.05451
511586,0,0.13847
592859,0,0.16816
