CATAID,BPT_CLASS,LOGIT_CLASS(1-UVUP;0-UVWEAK),STELLAR_MASS,UV_CLASS,WHAN(0-NA;1-RP;2-wA;3-sA;4-SF),WHAN_CLASS,Z
30707,SF,0,10.47059,UV_WEAK,4,SF,0.11915
30716,Composite,1,11.00711,UV_UPTURN,1,Retired/Passive,0.19583
30756,NA,0,10.24883,UV_WEAK,0,NA,0.11912
30757,NA,0,10.14798,UV_WEAK,1,Retired/Passive,0.11818
30793,SF,1,10.39594,UV_UPTURN,1,Retired/Passive,0.15363
30897,NA,1,9.957417,UV_UPTURN,1,Retired/Passive,0.10681
30997,NA,0,10.45577,UV_WEAK,4,SF,0.16886
31060,NA,1,11.17349,UV_UPTURN,1,Retired/Passive,0.28541
31326,NA,1,10.86992,UV_UPTURN,4,SF,0.18956
31419,NA,0,10.54717,UV_WEAK,1,Retired/Passive,0.12887
31592,LINER,0,10.45664,UV_WEAK,1,Retired/Passive,0.11764
31799,NA,1,11.06221,UV_UPTURN,1,Retired/Passive,0.21803
32199,NA,0,10.72039,UV_WEAK,0,NA,0.18016
32398,NA,0,10.72915,UV_WEAK,4,SF,0.11807
32407,SF,1,10.40905,UV_UPTURN,2,wAGN,0.11866
39013,NA,1,10.8677,UV_UPTURN,1,Retired/Passive,0.16496
39151,NA,1,11.25084,UV_UPTURN,0,NA,0.26671
39715,NA,0,10.40512,UV_WEAK,0,NA,0.10626
39732,NA,1,11.0497,UV_UPTURN,0,NA,0.24407
41058,NA,1,10.95459,UV_UPTURN,1,Retired/Passive,0.19761
47302,NA,0,10.52079,UV_WEAK,4,SF,0.14342
47679,LINER,0,10.68799,UV_WEAK,1,Retired/Passive,0.21226
47685,LINER,1,10.67821,UV_UPTURN,1,Retired/Passive,0.13949
48561,NA,0,11.15371,UV_WEAK,1,Retired/Passive,0.22105
48566,Composite,1,10.17934,UV_UPTURN,3,sAGN,0.13105
48688,NA,1,10.98268,UV_UPTURN,1,Retired/Passive,0.19315
48736,NA,1,11.08273,UV_UPTURN,0,NA,0.19859
49358,SF,1,10.97045,UV_UPTURN,1,Retired/Passive,0.18803
49998,NA,0,10.87691,UV_WEAK,4,SF,0.17193
54032,LINER,0,9.98516,UV_WEAK,1,Retired/Passive,0.09329
54640,SF,0,10.44281,UV_WEAK,1,Retired/Passive,0.10715
54644,NA,0,11.25379,UV_WEAK,1,Retired/Passive,0.24746
54859,LINER,1,10.64265,UV_UPTURN,1,Retired/Passive,0.16373
54925,Composite,1,10.78844,UV_UPTURN,1,Retired/Passive,0.17836
54979,NA,1,10.96765,UV_UPTURN,1,Retired/Passive,0.2035
55154,SF,0,10.63045,UV_WEAK,3,sAGN,0.17567
55224,SF,0,10.51308,UV_WEAK,4,SF,0.11939
55353,SF,1,10.63998,UV_UPTURN,4,SF,0.12911
55379,SF,0,10.06101,UV_WEAK,4,SF,0.08238
55494,NA,0,10.72042,UV_WEAK,4,SF,0.16089
55601,NA,1,10.67971,UV_UPTURN,0,NA,0.18158
55641,NA,1,11.01026,UV_UPTURN,1,Retired/Passive,0.2014
63188,Composite,0,10.7003,UV_WEAK,1,Retired/Passive,0.16905
63271,NA,1,10.85351,UV_UPTURN,1,Retired/Passive,0.14913
63657,Composite,0,11.00215,UV_WEAK,1,Retired/Passive,0.17439
63733,NA,0,10.77545,UV_WEAK,0,NA,0.16079
64081,NA,0,11.31317,UV_WEAK,1,Retired/Passive,0.28228
64158,NA,0,11.61147,UV_WEAK,1,Retired/Passive,0.12329
64349,NA,0,11.435,UV_WEAK,4,SF,0.21847
64452,Composite,0,10.79372,UV_WEAK,1,Retired/Passive,0.20118
64964,NA,0,11.03861,UV_WEAK,4,SF,0.27345
65164,NA,1,11.07833,UV_UPTURN,4,SF,0.2977
65396,Composite,0,10.5328,UV_WEAK,2,wAGN,0.14733
65427,NA,1,10.83961,UV_UPTURN,0,NA,0.255
65447,NA,0,10.64604,UV_WEAK,4,SF,0.13799
70294,NA,1,11.04205,UV_UPTURN,0,NA,0.25398
70700,SF,0,10.68498,UV_WEAK,4,SF,0.16505
71107,NA,0,11.07566,UV_WEAK,4,SF,0.18519
77534,Composite,1,10.52621,UV_UPTURN,2,wAGN,0.12521
77975,SF,1,10.35316,UV_UPTURN,4,SF,0.13182
78959,Composite,0,10.52599,UV_WEAK,1,Retired/Passive,0.13783
78967,Composite,0,11.08184,UV_WEAK,1,Retired/Passive,0.24137
83945,NA,0,10.52175,UV_WEAK,0,NA,0.1355
84295,NA,0,10.13951,UV_WEAK,1,Retired/Passive,0.10466
84716,NA,1,11.40925,UV_UPTURN,1,Retired/Passive,0.28192
84765,NA,0,10.47038,UV_WEAK,2,wAGN,0.14007
84945,NA,1,11.27845,UV_UPTURN,1,Retired/Passive,0.22456
85104,Composite,0,10.68398,UV_WEAK,2,wAGN,0.20876
85618,LINER,1,10.93385,UV_UPTURN,1,Retired/Passive,0.1831
85679,NA,0,11.23367,UV_WEAK,1,Retired/Passive,0.27468
85864,NA,1,10.93292,UV_UPTURN,2,wAGN,0.19907
85928,NA,1,10.98872,UV_UPTURN,1,Retired/Passive,0.18526
91600,LINER,0,10.83173,UV_WEAK,1,Retired/Passive,0.14698
92435,Composite,0,10.16536,UV_WEAK,1,Retired/Passive,0.08517
92888,SF,0,10.72603,UV_WEAK,4,SF,0.22985
93394,Composite,1,11.08969,UV_UPTURN,1,Retired/Passive,0.25729
98073,Composite,0,10.95821,UV_WEAK,1,Retired/Passive,0.24484
98989,Composite,0,10.34549,UV_WEAK,1,Retired/Passive,0.09589
99005,NA,1,10.9791,UV_UPTURN,1,Retired/Passive,0.23765
99394,NA,0,11.02832,UV_WEAK,4,SF,0.22179
99658,NA,0,10.64629,UV_WEAK,0,NA,0.12562
105613,NA,0,10.91039,UV_WEAK,1,Retired/Passive,0.1619
105667,NA,1,10.71151,UV_UPTURN,4,SF,0.12342
106081,NA,1,10.83012,UV_UPTURN,1,Retired/Passive,0.17107
106144,NA,0,10.57635,UV_WEAK,0,NA,0.1722
106188,SF,0,10.59911,UV_WEAK,4,SF,0.12637
106765,NA,0,10.52987,UV_WEAK,4,SF,0.11479
106766,Composite,0,10.8582,UV_WEAK,1,Retired/Passive,0.17015
106915,LINER,1,10.42841,UV_UPTURN,1,Retired/Passive,0.12403
107237,NA,0,10.61265,UV_WEAK,1,Retired/Passive,0.12792
107480,SF,1,10.35172,UV_UPTURN,4,SF,0.11928
107809,Composite,0,10.42117,UV_WEAK,1,Retired/Passive,0.1311
